epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.9673,1.54203,1.50438,1.57519,0.94379,0.93529,0.96942,0.83571,0.53977,0.63973,0.90085,0.000664376,0.000664376,0.000664376
2,97.673,1.46956,1.19623,1.50913,0.92111,0.93701,0.96109,0.83324,0.5365,0.79531,0.93921,0.00130469,0.00130469,0.00130469
3,145.379,1.44437,1.14425,1.49931,0.90805,0.92666,0.94665,0.82284,0.55285,0.68736,0.93031,0.0019186,0.0019186,0.0019186
4,191.519,1.41811,1.09685,1.48761,0.93827,0.93529,0.96893,0.80957,0.62898,0.4967,0.9646,0.0018812,0.0018812,0.0018812
5,238.749,1.3786,1.04374,1.47062,0.94265,0.93603,0.96808,0.86291,0.47953,0.55808,0.89962,0.0018416,0.0018416,0.0018416
6,283.583,1.34895,0.9943,1.44567,0.9553,0.95889,0.97607,0.88839,0.43899,0.3926,0.87993,0.001802,0.001802,0.001802
7,327.823,1.3233,0.96234,1.43205,0.95003,0.95686,0.9736,0.85177,0.54028,0.41633,0.93143,0.0017624,0.0017624,0.0017624
8,372.029,1.31011,0.94433,1.41815,0.95091,0.95266,0.97987,0.89789,0.41885,0.37958,0.87562,0.0017228,0.0017228,0.0017228
9,416.01,1.27228,0.90452,1.39321,0.937,0.96376,0.97377,0.87676,0.46006,0.38953,0.90172,0.0016832,0.0016832,0.0016832
10,460.301,1.26009,0.89187,1.38375,0.96815,0.95427,0.98056,0.87934,0.48157,0.36363,0.89455,0.0016436,0.0016436,0.0016436
11,504.707,1.25405,0.87692,1.37725,0.94988,0.9648,0.98179,0.91299,0.39191,0.33832,0.86184,0.001604,0.001604,0.001604
12,550.892,1.21679,0.84517,1.35686,0.9552,0.9629,0.98105,0.9042,0.40945,0.34123,0.86705,0.0015644,0.0015644,0.0015644
13,599.8,1.23275,0.8552,1.36065,0.95813,0.95945,0.98255,0.91447,0.4006,0.32573,0.86528,0.0015248,0.0015248,0.0015248
14,677.329,1.20798,0.83026,1.34464,0.96093,0.96721,0.98572,0.90089,0.41947,0.32016,0.8738,0.0014852,0.0014852,0.0014852
15,819.011,1.2105,0.82941,1.35246,0.94838,0.95108,0.96805,0.8425,0.5586,0.37246,0.95271,0.0014456,0.0014456,0.0014456
16,864.361,1.19261,0.81258,1.3412,0.95902,0.97153,0.9847,0.90838,0.39828,0.30795,0.86193,0.001406,0.001406,0.001406
17,910.917,1.16942,0.79813,1.32718,0.95634,0.9698,0.98703,0.91342,0.38769,0.29596,0.85689,0.0013664,0.0013664,0.0013664
18,955.677,1.16083,0.78654,1.32084,0.95589,0.97066,0.98403,0.91932,0.37331,0.29466,0.85631,0.0013268,0.0013268,0.0013268
19,1001.81,1.15496,0.78314,1.31697,0.9533,0.9687,0.98453,0.90692,0.39902,0.30517,0.87163,0.0012872,0.0012872,0.0012872
20,1050.56,1.14549,0.77036,1.30849,0.96053,0.96894,0.98616,0.91371,0.39595,0.28439,0.86208,0.0012476,0.0012476,0.0012476
21,1096.95,1.1321,0.75925,1.30141,0.9649,0.97153,0.98359,0.92593,0.36861,0.28305,0.84927,0.001208,0.001208,0.001208
22,1141.89,1.10958,0.73449,1.2837,0.95847,0.96376,0.98142,0.9048,0.41392,0.30038,0.87007,0.0011684,0.0011684,0.0011684
23,1186.93,1.10362,0.73411,1.28243,0.95756,0.97345,0.98628,0.91917,0.37264,0.27951,0.85172,0.0011288,0.0011288,0.0011288
24,1232.04,1.09461,0.73053,1.27674,0.94934,0.95255,0.97158,0.895,0.42443,0.30778,0.88807,0.0010892,0.0010892,0.0010892
25,1276.1,1.09221,0.72668,1.27487,0.96485,0.97093,0.98172,0.92368,0.36573,0.27173,0.85328,0.0010496,0.0010496,0.0010496
26,1320.58,1.07792,0.71181,1.2643,0.9677,0.96204,0.98322,0.90755,0.39616,0.28754,0.87198,0.00101,0.00101,0.00101
27,1365.26,1.06932,0.7083,1.25675,0.96692,0.97066,0.98377,0.91919,0.37381,0.26998,0.8543,0.0009704,0.0009704,0.0009704
28,1409.57,1.04679,0.68704,1.24361,0.95295,0.98102,0.98402,0.90064,0.42439,0.28206,0.88507,0.0009308,0.0009308,0.0009308
29,1453.49,1.05386,0.69335,1.25217,0.95219,0.97958,0.98253,0.92381,0.3551,0.26652,0.85012,0.0008912,0.0008912,0.0008912
30,1497.73,1.04595,0.6839,1.2464,0.96105,0.97925,0.98308,0.91839,0.37489,0.27175,0.85978,0.0008516,0.0008516,0.0008516
31,1542.14,1.04418,0.6805,1.2398,0.96237,0.97078,0.9837,0.92033,0.36954,0.2624,0.85685,0.000812,0.000812,0.000812
32,1586.47,1.02618,0.67299,1.23785,0.95369,0.97717,0.98577,0.92261,0.36417,0.26476,0.85419,0.0007724,0.0007724,0.0007724
33,1630.77,1.01759,0.66204,1.22188,0.95975,0.97843,0.98177,0.92384,0.36192,0.25687,0.85619,0.0007328,0.0007328,0.0007328
34,1674.69,1.01841,0.66786,1.22921,0.96076,0.97412,0.98152,0.91659,0.37982,0.25839,0.86715,0.0006932,0.0006932,0.0006932
35,1718.87,1.00691,0.65859,1.22397,0.952,0.97929,0.97978,0.91777,0.38367,0.26056,0.85768,0.0006536,0.0006536,0.0006536
36,1763.18,0.99132,0.64906,1.21609,0.96229,0.97412,0.98401,0.92474,0.37268,0.25391,0.85744,0.000614,0.000614,0.000614
37,1807.66,0.98068,0.63776,1.20412,0.95221,0.97998,0.98508,0.92177,0.37601,0.25743,0.86168,0.0005744,0.0005744,0.0005744
38,1852.82,0.97771,0.6345,1.20091,0.96257,0.97643,0.98443,0.91791,0.38827,0.2576,0.86447,0.0005348,0.0005348,0.0005348
39,1897.48,0.97074,0.63227,1.19553,0.96747,0.97584,0.98452,0.9206,0.3821,0.25146,0.86404,0.0004952,0.0004952,0.0004952
40,1945.78,0.96354,0.62675,1.19544,0.96004,0.97498,0.9862,0.92503,0.36757,0.24669,0.86048,0.0004556,0.0004556,0.0004556
41,2007.7,0.90815,0.54574,1.16403,0.95466,0.98113,0.98486,0.91912,0.37088,0.24383,0.86434,0.000416,0.000416,0.000416
42,2052.96,0.88335,0.53095,1.14346,0.96246,0.97342,0.98585,0.91684,0.37826,0.25365,0.8685,0.0003764,0.0003764,0.0003764
43,2097.62,0.87647,0.52687,1.14429,0.96215,0.97498,0.98397,0.91426,0.38589,0.25117,0.87743,0.0003368,0.0003368,0.0003368
44,2141.53,0.85833,0.51623,1.12879,0.96576,0.97331,0.98664,0.91327,0.39598,0.25417,0.88252,0.0002972,0.0002972,0.0002972
45,2184.8,0.84724,0.51153,1.12598,0.96332,0.9767,0.98652,0.92389,0.37255,0.24326,0.86666,0.0002576,0.0002576,0.0002576
46,2228.17,0.83691,0.50084,1.11965,0.96588,0.97697,0.98674,0.91868,0.38643,0.24416,0.87706,0.000218,0.000218,0.000218
47,2271.35,0.82439,0.49672,1.1084,0.96111,0.98096,0.98685,0.92488,0.37752,0.24087,0.8735,0.0001784,0.0001784,0.0001784
48,2314.23,0.81768,0.4922,1.10712,0.96822,0.97257,0.98774,0.9229,0.37671,0.23893,0.86996,0.0001388,0.0001388,0.0001388
